corpus,metric,n_total,n_hq,pct_hq,thresh,n_median,n_mean,n_std,K_median,R2_median,base_n,manip_n,mwu_p
LegalCon,bw_proxy,50,50,100%,R2>0.6,2.188,2.300,0.459,0.001,0.749,3.261,2.155,0.0001
LegalCon,cum_fid,50,29,58%,R2>0.8,2.112,2.209,0.254,0.000,0.833,n=0,n=29,n/a
LegalCon,nc2,50,26,52%,R2>0.6,0.445,0.449,0.109,2.778,0.714,0.437,0.445,0.4095
MentalManip,bw_proxy,50,50,100%,R2>0.6,3.032,2.976,0.379,0.000,0.721,3.058,3.032,0.9420
MentalManip,cum_fid,50,50,100%,R2>0.6,3.186,3.140,0.374,0.000,0.780,3.215,3.186,0.8958
MentalManip,nc2,50,28,56%,R2>0.6,0.410,0.435,0.124,3.721,0.738,0.404,0.410,0.7279
Awry,bw_proxy,48,47,98%,R2>0.6,5.333,5.246,0.233,0.000,0.767,5.228,5.363,0.1442
Awry,cum_fid,48,27,56%,R2>0.8,5.506,5.455,0.188,0.000,0.820,5.455,5.548,0.2345
Awry,nc2,48,10,21%,R2>0.8,0.770,0.770,0.124,3.426,0.851,0.770,0.751,1.0000
Prosocial,bw_proxy,50,50,100%,R2>0.8,8.144,8.151,0.066,0.000,0.846,n=50,n=0,n/a
Prosocial,cum_fid,50,50,100%,R2>0.8,8.194,8.201,0.081,0.000,0.869,n=50,n=0,n/a
