Corpus,Metric,n_total,n_HQ,pct_HQ,n_avrami_mean,n_avrami_median,n_avrami_std,HQ_n_mean,HQ_n_median,HQ_n_std,rho_mal,p_rho
ENK_Gold,B_windowed,194,171,88%,2.58,2.38,1.48,2.57,2.41,0.99,-0.185,0.0155
ENK_Gold,NC2_cumdev,202,202,100%,3.44,3.36,0.92,3.44,3.36,0.92,-0.289,0.0000
ENK_Gold,cum_FID,202,202,100%,2.33,2.21,0.54,2.33,2.21,0.54,-0.315,0.0000
ENK_Gold,cum_abs_delta_FID,202,201,100%,1.69,1.59,0.36,1.69,1.59,0.36,-0.334,0.0000
ENK_Gold,cum_abs_delta_NC2,202,202,100%,1.24,1.31,0.23,1.24,1.31,0.23,-0.143,0.0429
bothbosu_scam,B_windowed,43,42,98%,3.71,3.07,1.23,3.75,3.07,1.22,-,-
bothbosu_scam,cum_FID,49,49,100%,4.50,4.48,0.48,4.50,4.48,0.48,-,-
bothbosu_scam,cum_abs_delta_FID,49,45,92%,2.99,2.92,1.06,3.09,2.99,1.04,-,-
bothbosu_scam,cum_abs_delta_NC2,49,49,100%,1.36,1.36,0.01,1.36,1.36,0.01,-,-
gasconv,B_windowed,12,11,92%,3.53,3.14,1.01,3.60,3.21,1.02,-,-
gasconv,NC2_cumdev,19,19,100%,5.86,5.95,0.42,5.86,5.95,0.42,-,-
gasconv,cum_FID,25,25,100%,4.03,4.05,0.49,4.03,4.05,0.49,-,-
gasconv,cum_abs_delta_FID,25,24,96%,2.40,2.25,0.56,2.39,2.24,0.57,-,-
gasconv,cum_abs_delta_NC2,25,25,100%,1.35,1.35,0.02,1.35,1.35,0.02,-,-
legalcon,B_windowed,88,67,76%,3.56,2.62,3.30,3.53,2.71,2.37,-,-
legalcon,NC2_cumdev,145,145,100%,4.10,3.92,0.82,4.10,3.92,0.82,-,-
legalcon,cum_FID,153,153,100%,2.83,2.61,0.73,2.83,2.61,0.73,-,-
legalcon,cum_abs_delta_FID,153,152,99%,2.08,1.94,0.57,2.09,1.94,0.57,-,-
legalcon,cum_abs_delta_NC2,153,153,100%,1.37,1.36,0.09,1.37,1.36,0.09,-,-
mentalmanip,B_windowed,3,1,33%,1.81,1.84,1.06,3.08,3.08,0.00,-,-
mentalmanip,NC2_cumdev,17,17,100%,5.33,5.52,0.98,5.33,5.52,0.98,-,-
mentalmanip,cum_FID,22,22,100%,3.79,3.98,0.75,3.79,3.98,0.75,-,-
mentalmanip,cum_abs_delta_FID,22,22,100%,2.33,2.27,0.48,2.33,2.27,0.48,-,-
mentalmanip,cum_abs_delta_NC2,22,22,100%,1.35,1.35,0.07,1.35,1.35,0.07,-,-
p4g,B_windowed,88,85,97%,3.79,3.11,1.36,3.84,3.12,1.34,-,-
p4g,NC2_cumdev,40,40,100%,6.19,6.24,0.17,6.19,6.24,0.17,-,-
p4g,cum_FID,300,300,100%,4.56,4.54,0.52,4.56,4.54,0.52,-,-
p4g,cum_abs_delta_FID,300,280,93%,2.99,2.88,0.90,3.02,2.92,0.90,-,-
p4g,cum_abs_delta_NC2,300,300,100%,1.36,1.36,0.01,1.36,1.36,0.01,-,-
