material	model	n_valid	median_aic	median_bic	median_r2	win_rate_aic	win_rate_bic	rho_infl_outcome	p_infl_outcome	n_corr
NR60	logistic	9	-438.11331180369916	-433.06973464960106	0.9943763621356442	1.0	1.0	0.8333333333333333	0.005265691029161747	9
NR60	gompertz	9	-324.54311856568063	-319.4995414115825	0.9814573433654044	0.0	0.0	0.8666666666666667	0.002495398285990204	9
NR60	weibull	9	-356.9066312214987	-351.8630540674006	0.9872007615835934	0.0	0.0	0.9047619047619048	0.002008275505429469	8
NR60	hill	9	-271.08995776851077	-266.04638061441267	0.9675625999621624	0.0	0.0	0.8833333333333333	0.0015905004234978695	9
EPDM60	logistic	9	-340.72254689364996	-335.7229275529894	0.9802272278252211	0.6666666666666666	0.6666666666666666	0.9666666666666667	2.1550312748357717e-05	9
EPDM60	gompertz	9	-287.03041879715596	-282.0307994564954	0.9604951815484105	0.3333333333333333	0.3333333333333333	0.9666666666666667	2.1550312748357717e-05	9
EPDM60	weibull	9	-246.34862514935756	-241.34900580869703	0.9476858649607085	0.0	0.0	0.9285714285714288	0.0025194724037946887	7
EPDM60	hill	9	-201.3112228499639	-196.31160350930338	0.9147954523338605	0.0	0.0	0.9500000000000001	8.762523965086185e-05	9
NEO60	logistic	9	-336.8288808294015	-331.82926148874094	0.9792200124208538	0.7777777777777778	0.7777777777777778	0.7	0.03576957497026173	9
NEO60	gompertz	9	-316.7431122300795	-311.6995350759814	0.9744500893025297	0.2222222222222222	0.2222222222222222	0.75	0.019942126131992536	9
NEO60	weibull	9	-279.705553250248	-274.6619760961499	0.9633871975498499	0.0	0.0	0.6071428571428572	0.14823116148116164	7
NEO60	hill	9	-225.00897213820087	-219.9653949841028	0.9329486697791898	0.0	0.0	0.8166666666666667	0.0072247852463587885	9
CCP60	logistic	9	-307.07518862846706	-301.6924928640088	0.9202465394080837	0.0	0.0	0.8666666666666667	0.002495398285990204	9
CCP60	gompertz	9	-330.47109625692855	-325.08840049247027	0.9357647251061094	0.3333333333333333	0.3333333333333333	0.45	0.22421610749233675	9
CCP60	weibull	9	-285.81507829022587	-279.87545169107386	0.9620443079918709	0.6666666666666666	0.6666666666666666			0
CCP60	hill	9	-258.71481018498946	-252.77518358583745	0.929610178566637	0.0	0.0			4
CCP80	logistic	8	-238.83586773583733	-233.961839613281	0.9399552784609708	0.625	0.625	0.9761904761904763	3.314396026200098e-05	8
CCP80	gompertz	8	-263.50156062036103	-258.5762392034171	0.9461540026822206	0.0	0.0	0.9761904761904763	3.314396026200098e-05	8
CCP80	weibull	8	-260.90534417315894	-255.78711909009058	0.9243803563383066	0.375	0.375			0
CCP80	hill	8	-228.00115029708405	-222.8829252140157	0.8907591054984395	0.0	0.0	0.523809523809524	0.1827207505397148	8
